"TimeCreated","ProviderName","LevelDisplayName","Message"
"24-04-2026 10:48:02","Microsoft-Windows-TPM-WMI","Information","This device has updated Secure Boot CA/keys. This device signature information is included here.
DeviceAttributes: FirmwareManufacturer:AMI;FirmwareVersion:F.17;OEMModelBaseBoard:89F3;OEMManufacturerName:HP;OSArchitecture:amd64;
BucketId: 07f25a2b96458d1e79c7a41f56c3d189e8497eaf812ed9f69d3f6c84b727e339
BucketConfidenceLevel: Under Observation - More Data Needed
UpdateType: Windows UEFI CA 2023 (DB), Option ROM CA 2023 (DB), 3P UEFI CA 2023 (DB), KEK 2023, Boot Manager (2023)
For more information, please see https://go.microsoft.com/fwlink/?linkid=2301018."
"24-04-2026 10:48:02","Microsoft-Windows-TPM-WMI","Error","The Secure Boot update failed to update SBAT with error Unknown HResult Error code: 0x800700c1. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
"24-04-2026 10:46:35","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\ProgramData\Packages\gemini.google.com-D0A8E439_vn3jms8s81tkg\S-1-5-21-1258550371-3975648611-2483462874-1001\SystemAppData\Helium\Cache\10bcca71d19459a3_COM15.dat was cleared updating 1 keys and creating 1 modified pages."
"24-04-2026 10:46:35","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\gemini.google.com-D0A8E439_vn3jms8s81tkg\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages."
"24-04-2026 10:46:35","Microsoft-Windows-Kernel-General","Information","The access history in hive \??\C:\Users\priya\AppData\Local\Packages\gemini.google.com-D0A8E439_vn3jms8s81tkg\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages."
"24-04-2026 10:46:15","Microsoft-Windows-Perflib","Warning","The Open procedure for service ""aspnet_state"" in DLL ""C:\Windows\System32\aspnet_counters.dll"" failed with error code The parameter is incorrect.. Performance data for this service will not be available."
"24-04-2026 10:46:15","Microsoft-Windows-Perflib","Warning","The Open procedure for service ""ASP.NET_4.0.30319"" in DLL ""C:\Windows\System32\aspnet_counters.dll"" failed with error code The parameter is incorrect.. Performance data for this service will not be available."
"24-04-2026 10:46:15","Microsoft-Windows-Perflib","Warning","The Open procedure for service ""ASP.NET"" in DLL ""C:\Windows\System32\aspnet_counters.dll"" failed with error code The parameter is incorrect.. Performance data for this service will not be available."
"24-04-2026 10:46:04","Microsoft-Windows-Security-SPP","Information","Successfully scheduled Software Protection service for re-start at 2126-03-31T05:16:04Z. Reason: RulesEngine."
"24-04-2026 10:45:58","Microsoft-Windows-DistributedCOM","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Priyanshu\priya SID (S-1-5-21-1258550371-3975648611-2483462874-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
"24-04-2026 10:45:34","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: fb3540bc-a824-4c79-83da-6f6bd3ac6ccb, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
"24-04-2026 10:45:34","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: ed799377-74b8-4989-a244-14d082e65972, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
"24-04-2026 10:45:34","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: e371d89a-73e8-4b24-a7ff-23a3641dd18e, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
"24-04-2026 10:45:33","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: da9621af-f086-4244-b563-18611e51aa1a, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
"24-04-2026 10:45:33","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: d7279dd0-e175-49fe-a623-8fc2fc00afc4, 1, 1 [(0 )(1 )(2 )(3 [0x00000000, 0, 0], [( 6 0xC004F009 5 0)( 1 0x00000000)( 6 0xC004F009 5 0)(?)(?)(?)( 10 0x00000000 msft:rm/algorithm/flags/1.0)( 11 0x00000000 0xC004F009)])]

"
"24-04-2026 10:45:33","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=55c92734-d682-4d71-983e-d6ec3f16059f
Licensing Status=
1: cd918a57-a41b-4c82-8dce-1a538e221a83, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
"24-04-2026 10:45:33","Application","Information",
"24-04-2026 10:45:33","Microsoft-Windows-Security-SPP","Information","The Software Protection service has completed licensing status check.
Application Id=0ff1ce15-a989-479d-af46-f275c6370663
Licensing Status=
1: c85fe025-b033-4f41-936b-b121521ba1c1, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)(?)(?)])(1 )(2 )(3 )]

"
